feelslike,precip,precipcover,windspeed,day_length
19.900,0.000,0.000,33.000,14.635
21.700,0.000,0.000,27.300,14.625
21.000,0.000,0.000,25.500,14.613
22.200,0.000,0.000,23.700,14.601
21.200,0.008,4.170,25.500,14.587
21.500,0.000,0.000,27.300,14.572
21.000,0.116,12.500,20.200,14.558
21.400,0.025,8.330,22.000,14.541
22.200,0.000,0.000,29.100,14.524
22.200,0.000,0.000,23.700,14.506
22.400,0.000,0.000,27.300,14.488
21.600,0.616,8.330,25.500,14.468
21.500,0.000,0.000,33.000,14.448
20.200,0.041,8.330,22.000,14.427
20.600,0.108,12.500,23.700,14.405
20.500,0.000,0.000,29.100,14.382
20.500,0.000,0.000,34.700,14.359
21.500,0.000,0.000,27.300,14.335
21.900,0.000,0.000,27.300,14.310
20.000,0.192,4.170,34.700,14.285
19.900,0.000,0.000,31.200,14.259
20.700,0.000,0.000,22.000,14.232
20.900,0.000,0.000,16.300,14.205
19.600,5.233,12.500,23.700,14.177
21.700,1.600,16.670,36.500,14.148
23.000,1.848,16.670,20.200,14.119
21.100,0.425,8.330,38.300,14.090
20.800,0.050,8.330,25.500,14.059
19.700,0.008,4.170,16.300,14.029
20.500,0.000,0.000,27.300,13.998
21.400,0.000,0.000,33.000,13.966
22.600,0.000,0.000,40.000,13.934
22.700,0.025,8.330,38.300,13.901
22.500,0.017,4.170,33.000,13.869
23.400,0.025,8.330,34.700,13.835
23.300,0.000,0.000,40.000,13.801
22.800,10.608,16.670,29.100,13.768
20.800,46.307,29.170,22.000,13.733
25.100,1.059,25.000,25.500,13.698
25.000,1.464,20.830,29.100,13.663
24.800,0.242,12.500,29.100,13.628
23.900,1.774,12.500,29.100,13.592
25.000,0.333,16.670,45.700,13.556
20.900,3.208,16.670,76.000,13.520
19.100,0.767,8.330,29.100,13.483
18.100,0.000,0.000,25.500,13.447
19.700,0.000,0.000,23.700,13.410
19.500,0.000,0.000,18.100,13.373
21.200,0.000,0.000,22.000,13.335
20.300,0.958,4.170,14.500,13.298
21.100,0.000,0.000,22.000,13.260
21.000,0.000,0.000,20.200,13.222
22.500,0.091,8.330,14.500,13.184
22.400,0.000,0.000,23.700,13.146
22.200,0.025,4.170,23.700,13.107
20.400,0.000,0.000,23.700,13.069
20.100,0.000,0.000,22.000,13.030
20.200,0.000,0.000,18.100,12.991
19.900,0.000,0.000,18.100,12.952
20.400,0.000,0.000,16.600,12.913
20.200,0.208,4.170,27.300,12.874
18.800,0.000,0.000,27.300,12.835
19.400,0.000,0.000,22.000,12.796
20.200,0.008,4.170,23.700,12.756
20.300,0.000,0.000,25.500,12.717
20.400,0.025,8.330,16.300,12.678
