date,avg_duration,count,feelslike,precip,precipcover,windspeed,day_length
2017-01-23,817.726,23031,0.600,0.199,8.330,6.400,8.721
2017-01-24,851.122,26299,3.300,0.001,4.170,11.500,8.770
2017-01-25,832.233,24937,0.000,0.001,4.170,11.300,8.820
2017-01-26,803.408,23607,-3.400,0.000,0.000,13.000,8.871
2017-01-27,848.220,23138,0.800,0.000,0.000,17.100,8.923
2017-01-30,840.027,24732,6.300,9.000,4.170,15.500,9.084
2017-01-31,810.323,22383,4.300,0.601,8.330,17.900,9.139
2017-02-01,817.367,22870,10.100,7.990,8.330,23.700,9.195
2017-02-02,829.222,25296,10.800,0.211,12.500,27.600,9.251
2017-02-03,862.866,22858,6.900,0.816,12.500,37.200,9.308
2017-02-06,850.018,23964,3.400,0.000,0.000,17.300,9.482
2017-02-07,855.484,26764,6.400,6.204,8.330,15.200,9.542
2017-02-08,813.330,25384,2.800,0.000,0.000,13.600,9.601
2017-02-09,792.414,22619,-0.900,0.000,0.000,17.300,9.661
2017-02-10,775.378,18459,-1.400,0.401,16.670,15.900,9.722
2017-02-13,889.814,23821,2.400,0.000,0.000,26.800,9.906
2017-02-14,906.504,26265,5.500,0.000,0.000,16.300,9.968
2017-02-15,856.048,24041,8.400,1.010,4.170,22.500,10.030
2017-02-16,902.886,26278,7.500,0.200,8.330,18.600,10.093
2017-02-17,950.127,25359,8.400,0.199,4.170,15.600,10.156
2017-02-20,926.081,28260,12.600,0.198,4.170,27.400,10.346
2017-02-21,880.645,28514,11.800,0.008,8.330,26.300,10.410
2017-02-22,864.490,26955,12.200,0.001,4.170,33.600,10.474
2017-02-23,805.935,22288,8.700,0.809,8.330,56.400,10.539
2017-02-24,900.750,26383,3.800,0.000,0.000,20.800,10.603
2017-02-27,795.565,19802,4.300,11.784,16.670,29.200,10.798
2017-02-28,830.578,24428,1.500,1.796,8.330,32.300,10.863
2017-03-01,822.788,24513,4.500,0.400,16.670,37.600,10.929
2017-03-02,853.672,26607,5.100,0.402,4.170,39.300,10.994
2017-03-03,847.161,22597,7.200,2.007,4.170,17.500,11.059
2017-03-06,867.178,26549,5.700,1.005,4.170,26.000,11.257
2017-03-07,876.246,28777,5.700,0.199,4.170,18.500,11.323
2017-03-08,825.828,24259,10.100,2.984,8.330,23.800,11.389
2017-03-09,913.481,30751,12.900,0.000,0.000,23.400,11.455
2017-03-10,891.124,27676,9.000,0.000,0.000,15.300,11.521
2017-03-13,976.834,31771,10.900,0.000,0.000,16.700,11.720
2017-03-14,900.087,30445,10.700,0.000,0.000,21.100,11.786
2017-03-15,973.918,34039,12.100,0.000,0.000,11.600,11.852
2017-03-16,915.775,31424,9.500,0.001,4.170,20.500,11.918
2017-03-17,855.539,26137,8.000,0.000,0.000,36.400,11.984
2017-03-20,816.307,23896,10.500,3.185,12.500,32.600,12.183
2017-03-21,881.885,29862,6.000,0.001,4.170,29.800,12.250
2017-03-22,836.031,23538,5.000,3.009,8.330,26.700,12.316
2017-03-23,852.151,27342,7.300,4.198,8.330,31.500,12.382
2017-03-24,882.416,27195,6.900,0.000,0.000,25.000,12.448
2017-03-27,947.830,30404,8.900,0.000,0.000,16.200,12.646
