date,avg_duration,count,feelslike,precip,precipcover,windspeed,day_length
2017-01-23,206.667,9,0.600,0.199,8.330,6.400,8.721
2017-01-24,201.818,11,3.300,0.001,4.170,11.500,8.770
2017-01-25,185.455,11,0.000,0.001,4.170,11.300,8.820
2017-01-26,200.000,12,-3.400,0.000,0.000,13.000,8.871
2017-01-27,189.231,13,0.800,0.000,0.000,17.100,8.923
2017-01-30,195.000,8,6.300,9.000,4.170,15.500,9.084
2017-01-31,197.143,7,4.300,0.601,8.330,17.900,9.139
2017-02-01,193.333,9,10.100,7.990,8.330,23.700,9.195
2017-02-02,210.000,12,10.800,0.211,12.500,27.600,9.251
2017-02-03,230.000,12,6.900,0.816,12.500,37.200,9.308
2017-02-06,188.571,7,3.400,0.000,0.000,17.300,9.482
2017-02-07,214.286,7,6.400,6.204,8.330,15.200,9.542
2017-02-08,234.000,10,2.800,0.000,0.000,13.600,9.601
2017-02-09,186.000,10,-0.900,0.000,0.000,17.300,9.661
2017-02-10,188.571,7,-1.400,0.401,16.670,15.900,9.722
2017-02-13,200.000,6,2.400,0.000,0.000,26.800,9.906
2017-02-14,225.000,4,5.500,0.000,0.000,16.300,9.968
2017-02-15,205.714,7,8.400,1.010,4.170,22.500,10.030
2017-02-16,200.000,9,7.500,0.200,8.330,18.600,10.093
2017-02-17,162.857,7,8.400,0.199,4.170,15.600,10.156
2017-02-20,187.500,8,12.600,0.198,4.170,27.400,10.346
2017-02-21,205.714,7,11.800,0.008,8.330,26.300,10.410
2017-02-22,228.000,5,12.200,0.001,4.170,33.600,10.474
2017-02-23,173.333,9,8.700,0.809,8.330,56.400,10.539
2017-02-24,180.000,8,3.800,0.000,0.000,20.800,10.603
2017-02-27,210.000,6,4.300,11.784,16.670,29.200,10.798
2017-02-28,205.714,7,1.500,1.796,8.330,32.300,10.863
2017-03-01,204.000,5,4.500,0.400,16.670,37.600,10.929
2017-03-02,205.714,7,5.100,0.402,4.170,39.300,10.994
2017-03-03,206.667,9,7.200,2.007,4.170,17.500,11.059
2017-03-06,210.000,8,5.700,1.005,4.170,26.000,11.257
2017-03-07,206.667,9,5.700,0.199,4.170,18.500,11.323
2017-03-08,192.000,10,10.100,2.984,8.330,23.800,11.389
2017-03-09,190.909,11,12.900,0.000,0.000,23.400,11.455
2017-03-10,190.909,11,9.000,0.000,0.000,15.300,11.521
2017-03-13,188.571,7,10.900,0.000,0.000,16.700,11.720
2017-03-14,380.000,12,10.700,0.000,0.000,21.100,11.786
2017-03-15,185.000,12,12.100,0.000,0.000,11.600,11.852
2017-03-16,196.000,15,9.500,0.001,4.170,20.500,11.918
2017-03-17,162.857,7,8.000,0.000,0.000,36.400,11.984
2017-03-20,188.571,7,10.500,3.185,12.500,32.600,12.183
2017-03-21,230.000,6,6.000,0.001,4.170,29.800,12.250
2017-03-22,228.000,5,5.000,3.009,8.330,26.700,12.316
2017-03-23,210.000,8,7.300,4.198,8.330,31.500,12.382
2017-03-24,205.000,12,6.900,0.000,0.000,25.000,12.448
2017-03-27,230.000,6,8.900,0.000,0.000,16.200,12.646
2017-03-28,187.500,16,10.700,0.000,0.000,26.200,12.713
2017-03-29,233.333,9,13.200,0.200,4.170,24.300,12.778
2017-03-30,190.000,12,16.100,0.000,0.000,24.600,12.844
2017-03-31,185.000,12,13.900,0.000,0.000,28.700,12.910
