datetime,feelslike,precip,precipcover,windspeed,day_length
2017-01-01,3.800,8.976,12.500,20.300,7.936
2017-01-02,0.900,2.000,4.170,15.400,7.956
2017-01-03,-1.000,0.001,4.170,20.200,7.978
2017-01-04,2.500,0.000,0.000,17.600,8.002
2017-01-05,2.200,0.000,0.000,7.400,8.027
2017-01-06,1.800,1.002,8.330,16.400,8.054
2017-01-07,7.800,2.214,12.500,15.600,8.082
2017-01-08,8.900,0.201,4.170,7.900,8.113
2017-01-09,6.000,3.395,16.670,23.500,8.144
2017-01-10,4.100,1.986,4.170,17.200,8.177
2017-01-11,6.400,0.000,0.000,27.800,8.211
2017-01-12,1.900,16.969,8.330,24.400,8.247
2017-01-13,-1.300,2.598,8.330,33.500,8.284
2017-01-14,-0.900,0.404,8.330,17.600,8.322
2017-01-15,3.400,5.407,12.500,15.900,8.362
2017-01-16,4.300,3.409,12.500,8.400,8.403
2017-01-17,2.700,0.000,0.000,8.200,8.445
2017-01-18,1.100,0.000,0.000,15.100,8.488
2017-01-19,2.300,0.000,0.000,12.500,8.533
2017-01-20,1.300,0.001,4.170,16.700,8.578
2017-01-21,0.000,0.000,0.000,15.000,8.624
2017-01-22,0.400,0.000,0.000,6.900,8.672
2017-01-23,0.600,0.199,8.330,6.400,8.721
2017-01-24,3.300,0.001,4.170,11.500,8.770
2017-01-25,0.000,0.001,4.170,11.300,8.820
2017-01-26,-3.400,0.000,0.000,13.000,8.871
2017-01-27,0.800,0.000,0.000,17.100,8.923
2017-01-28,4.900,0.202,12.500,22.700,8.976
2017-01-29,4.100,4.002,12.500,19.800,9.030
2017-01-30,6.300,9.000,4.170,15.500,9.084
2017-01-31,4.300,0.601,8.330,17.900,9.139
2017-02-01,10.100,7.990,8.330,23.700,9.195
2017-02-02,10.800,0.211,12.500,27.600,9.251
2017-02-03,6.900,0.816,12.500,37.200,9.308
2017-02-04,4.600,1.606,8.330,13.400,9.366
2017-02-05,3.000,0.207,12.500,16.600,9.424
2017-02-06,3.400,0.000,0.000,17.300,9.482
2017-02-07,6.400,6.204,8.330,15.200,9.542
2017-02-08,2.800,0.000,0.000,13.600,9.601
2017-02-09,-0.900,0.000,0.000,17.300,9.661
2017-02-10,-1.400,0.401,16.670,15.900,9.722
2017-02-11,-1.400,1.001,12.500,15.500,9.783
2017-02-12,-0.100,0.602,8.330,22.100,9.844
2017-02-13,2.400,0.000,0.000,26.800,9.906
2017-02-14,5.500,0.000,0.000,16.300,9.968
2017-02-15,8.400,1.010,4.170,22.500,10.030
2017-02-16,7.500,0.200,8.330,18.600,10.093
2017-02-17,8.400,0.199,4.170,15.600,10.156
2017-02-18,6.700,0.000,0.000,13.900,10.219
2017-02-19,7.400,0.000,0.000,18.000,10.283
2017-02-20,12.600,0.198,4.170,27.400,10.346
2017-02-21,11.800,0.008,8.330,26.300,10.410
2017-02-22,12.200,0.001,4.170,33.600,10.474
2017-02-23,8.700,0.809,8.330,56.400,10.539
2017-02-24,3.800,0.000,0.000,20.800,10.603
2017-02-25,6.400,0.602,4.170,27.900,10.668
2017-02-26,10.300,1.199,8.330,34.200,10.733
2017-02-27,4.300,11.784,16.670,29.200,10.798
2017-02-28,1.500,1.796,8.330,32.300,10.863
2017-03-01,4.500,0.400,16.670,37.600,10.929
2017-03-02,5.100,0.402,4.170,39.300,10.994
2017-03-03,7.200,2.007,4.170,17.500,11.059
2017-03-04,7.600,1.217,12.500,26.900,11.126
2017-03-05,4.600,5.001,12.500,31.600,11.191
2017-03-06,5.700,1.005,4.170,26.000,11.257
2017-03-07,5.700,0.199,4.170,18.500,11.323
2017-03-08,10.100,2.984,8.330,23.800,11.389
2017-03-09,12.900,0.000,0.000,23.400,11.455
2017-03-10,9.000,0.000,0.000,15.300,11.521
2017-03-11,13.100,0.000,0.000,11.000,11.587
2017-03-12,11.600,0.804,8.330,13.700,11.654
2017-03-13,10.900,0.000,0.000,16.700,11.720
2017-03-14,10.700,0.000,0.000,21.100,11.786
2017-03-15,12.100,0.000,0.000,11.600,11.852
2017-03-16,9.500,0.001,4.170,20.500,11.918
2017-03-17,8.000,0.000,0.000,36.400,11.984
2017-03-18,12.600,0.797,8.330,32.500,12.051
2017-03-19,13.100,0.000,0.000,38.000,12.117
2017-03-20,10.500,3.185,12.500,32.600,12.183
2017-03-21,6.000,0.001,4.170,29.800,12.250
2017-03-22,5.000,3.009,8.330,26.700,12.316
2017-03-23,7.300,4.198,8.330,31.500,12.382
2017-03-24,6.900,0.000,0.000,25.000,12.448
2017-03-25,8.300,0.000,0.000,28.600,12.514
2017-03-26,8.600,0.000,0.000,24.700,12.581
2017-03-27,8.900,0.000,0.000,16.200,12.646
2017-03-28,10.700,0.000,0.000,26.200,12.713
2017-03-29,13.200,0.200,4.170,24.300,12.778
2017-03-30,16.100,0.000,0.000,24.600,12.844
2017-03-31,13.900,0.000,0.000,28.700,12.910
2017-04-01,12.200,0.010,4.170,21.200,12.976
2017-04-02,11.400,0.000,0.000,11.300,13.041
2017-04-03,11.700,0.000,0.000,21.300,13.107
2017-04-04,11.600,0.005,8.330,15.000,13.172
2017-04-05,10.500,0.000,0.000,16.300,13.238
2017-04-06,12.000,0.000,0.000,11.700,13.303
2017-04-07,12.300,0.000,0.000,10.500,13.368
2017-04-08,13.600,0.000,0.000,13.000,13.433
2017-04-09,16.100,0.000,0.000,26.700,13.498
2017-04-10,11.600,0.000,0.000,20.700,13.562
2017-04-11,11.000,0.000,0.000,18.500,13.627
2017-04-12,10.700,0.000,0.000,26.100,13.691
2017-04-13,10.400,0.000,0.000,17.700,13.755
2017-04-14,11.600,0.000,0.000,23.300,13.819
2017-04-15,12.000,0.000,0.000,21.700,13.883
2017-04-16,10.500,0.000,0.000,22.600,13.946
2017-04-17,9.500,0.202,8.330,16.400,14.010
2017-04-18,7.400,0.000,0.000,20.700,14.073
2017-04-19,8.200,0.000,0.000,11.900,14.136
2017-04-20,10.400,0.000,0.000,17.900,14.198
2017-04-21,12.500,0.000,0.000,15.800,14.261
2017-04-22,11.700,0.000,0.000,14.600,14.323
2017-04-23,11.000,0.000,0.000,15.300,14.384
2017-04-24,9.600,0.397,4.170,20.300,14.446
2017-04-25,4.100,0.000,0.000,20.400,14.507
2017-04-26,3.600,1.000,8.330,23.500,14.567
2017-04-27,5.800,0.797,4.170,18.600,14.628
2017-04-28,10.000,0.001,4.170,11.400,14.688
2017-04-29,11.100,0.000,0.000,20.900,14.747
2017-04-30,13.500,0.000,0.000,28.400,14.806
2017-05-01,10.400,0.613,12.500,18.200,14.865
2017-05-02,11.800,0.002,4.170,16.300,14.923
2017-05-03,8.700,0.402,12.500,18.900,14.981
2017-05-04,11.000,0.199,8.330,21.300,15.038
2017-05-05,10.900,0.000,0.000,30.400,15.095
2017-05-06,12.200,0.000,0.000,22.800,15.151
2017-05-07,11.700,0.000,0.000,14.500,15.206
2017-05-08,8.900,0.000,0.000,21.800,15.261
2017-05-09,9.400,0.000,0.000,14.100,15.316
2017-05-10,11.600,0.000,0.000,15.800,15.369
2017-05-11,13.700,0.001,4.170,19.000,15.422
2017-05-12,14.900,1.006,12.500,24.600,15.474
2017-05-13,14.300,0.004,8.330,26.200,15.526
2017-05-14,14.800,0.619,12.500,22.100,15.577
2017-05-15,14.400,0.802,8.330,24.800,15.627
2017-05-16,18.800,0.398,4.170,28.500,15.676
2017-05-17,15.900,7.910,16.670,15.600,15.724
2017-05-18,12.500,9.971,8.330,12.300,15.771
2017-05-19,11.700,7.211,12.500,17.100,15.818
2017-05-20,12.000,0.799,12.500,25.200,15.863
2017-05-21,14.900,0.002,4.170,17.500,15.908
2017-05-22,18.200,0.000,0.000,20.400,15.951
2017-05-23,16.900,0.000,0.000,15.100,15.994
2017-05-24,19.800,0.000,0.000,11.000,16.035
2017-05-25,20.000,0.000,0.000,20.200,16.075
2017-05-26,20.400,0.000,0.000,23.700,16.114
2017-05-27,19.300,0.000,0.000,28.600,16.152
2017-05-28,17.400,3.990,4.170,9.200,16.189
2017-05-29,18.000,7.809,12.500,17.300,16.225
2017-05-30,17.700,0.001,4.170,24.200,16.259
2017-05-31,17.900,0.000,0.000,10.800,16.292
2017-06-01,19.200,0.000,0.000,17.000,16.323
2017-06-02,19.000,2.018,4.170,13.800,16.353
2017-06-03,17.700,0.000,0.000,21.600,16.382
2017-06-04,15.200,0.992,4.170,24.700,16.410
2017-06-05,14.900,0.004,4.170,31.900,16.436
2017-06-06,12.900,18.992,12.500,44.200,16.460
2017-06-07,14.900,3.977,4.170,31.500,16.483
2017-06-08,15.700,1.000,8.330,27.400,16.505
2017-06-09,16.400,1.210,8.330,25.500,16.525
2017-06-10,18.300,0.000,0.000,29.700,16.543
2017-06-11,18.900,0.000,0.000,30.000,16.560
2017-06-12,15.900,0.000,0.000,24.000,16.575
2017-06-13,17.600,0.000,0.000,10.200,16.589
2017-06-14,20.200,0.000,0.000,15.400,16.601
2017-06-15,19.200,0.000,0.000,31.200,16.611
2017-06-16,18.100,0.000,0.000,20.700,16.620
2017-06-17,23.100,0.000,0.000,13.600,16.627
2017-06-18,24.700,0.000,0.000,13.600,16.632
2017-06-19,25.300,0.000,0.000,13.800,16.636
2017-06-20,23.700,0.000,0.000,18.200,16.638
2017-06-21,24.700,0.000,0.000,16.200,16.638
2017-06-22,21.600,0.003,4.170,27.100,16.637
2017-06-23,18.900,0.000,0.000,27.900,16.634
2017-06-24,19.200,0.000,0.000,24.900,16.629
2017-06-25,18.300,0.202,4.170,29.800,16.622
2017-06-26,18.600,0.000,0.000,16.600,16.614
2017-06-27,17.300,8.978,8.330,17.500,16.605
2017-06-28,15.300,12.204,8.330,14.500,16.593
2017-06-29,15.200,0.198,4.170,15.600,16.580
2017-06-30,17.900,0.000,0.000,17.000,16.566
2017-07-01,18.100,0.002,4.170,20.000,16.549
2017-07-02,18.900,0.003,4.170,19.700,16.532
2017-07-03,19.100,0.000,0.000,21.600,16.512
2017-07-04,19.600,0.000,0.000,15.100,16.491
2017-07-05,21.900,0.000,0.000,16.600,16.469
2017-07-06,24.200,0.000,0.000,17.900,16.445
2017-07-07,23.500,6.947,4.170,20.700,16.420
2017-07-08,21.800,0.000,0.000,18.100,16.393
2017-07-09,22.100,0.000,0.000,17.300,16.365
2017-07-10,21.300,0.000,0.000,23.700,16.336
