name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2017-01-01,9.6,5,6.5,8,1.2,3.8,5.1,90.5,8.976,100,12.5,rain,0,0,48.2,20.3,269.9,1018.5,86.7,11.2,14,1.1,1,,2017-01-01T08:06:11,2017-01-01T16:02:20,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-02,5.5,0,3.5,3.4,-1.6,0.9,0.7,82.4,2,100,4.17,rain,0,0,,15.4,357.4,1028.3,20.5,22,50.1,4.2,2,,2017-01-02T08:06:03,2017-01-02T16:03:25,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-03,5.5,-1.4,2.1,1.8,-4.1,-1,-0.1,85.5,0.001,100,4.17,rain,0,0,,20.2,266.6,1028,42,25.2,48.9,4.2,2,,2017-01-03T08:05:51,2017-01-03T16:04:33,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-04,7.6,3.1,5.3,4.8,-0.4,2.5,1,74.8,0,0,0,,0,0,,17.6,308.5,1025.5,65.5,33.3,37,3.1,2,,2017-01-04T08:05:36,2017-01-04T16:05:44,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-05,5.8,0.1,2.6,5.8,0.1,2.2,-0.8,78.8,0,0,0,,0,0,,7.4,323.2,1034.3,13,18.4,45.3,4,3,,2017-01-05T08:05:18,2017-01-05T16:06:57,0.25,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-06,7.1,-0.7,3.3,6.1,-0.7,1.8,1.8,90.8,1.002,100,8.33,rain,0,0,,16.4,208.6,1036.1,78.5,9,40.7,3.5,2,,2017-01-06T08:04:56,2017-01-06T16:08:12,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-07,11,6.1,8.8,11,3.1,7.8,8.1,95.7,2.214,100,12.5,rain,0,0,,15.6,273.2,1031.9,93.8,6.4,23.3,2.1,1,,2017-01-07T08:04:32,2017-01-07T16:09:29,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-08,10.5,8,9.1,10.5,7.8,8.9,8.1,93.6,0.201,100,4.17,rain,0,0,,7.9,216.7,1032,92.9,6.1,24.9,2.3,1,,2017-01-08T08:04:03,2017-01-08T16:10:49,0.36,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-09,10,4.5,8.3,10,0.8,6,7,91.7,3.395,100,16.67,rain,0,0,,23.5,234.4,1019.2,78.7,12.9,20.3,1.9,1,,2017-01-09T08:03:32,2017-01-09T16:12:11,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-10,9,4,6.6,6.6,0.6,4.1,4.1,83.7,1.986,100,4.17,rain,0,0,,17.2,264.5,1011.2,70.5,20.9,36.5,3.3,2,,2017-01-10T08:02:58,2017-01-10T16:13:35,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-11,11.5,6,8.5,11.5,2.6,6.4,3.6,72.9,0,0,0,,0,0,55.5,27.8,273.5,1011,60.5,21,50.6,4.3,3,,2017-01-11T08:02:20,2017-01-11T16:15:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-12,7.1,1.6,5,5.1,-2.9,1.9,2.1,81.6,16.969,100,8.33,"rain,snow",0,0,46,24.4,262.2,1004.9,80.9,17,10.2,0.9,1,,2017-01-12T08:01:40,2017-01-12T16:16:29,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-13,6.1,1,3.2,2.3,-4,-1.3,-0.9,75,2.598,100,8.33,"rain,snow",0,0,55.7,33.5,297.3,1009,49.7,36.2,37,3.3,2,,2017-01-13T08:00:56,2017-01-13T16:17:59,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-14,5.5,0.6,2.4,2.2,-3.6,-0.9,0.2,85.3,0.404,100,8.33,rain,0,0,,17.6,293,1020.2,42.8,32.7,41.8,3.7,2,,2017-01-14T08:00:09,2017-01-14T16:19:30,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-15,9.1,1.1,5.5,7.4,-1.6,3.4,4.8,95.2,5.407,100,12.5,rain,0,0,,15.9,296.5,1022.6,85.5,8.8,11,0.9,1,,2017-01-15T07:59:20,2017-01-15T16:21:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-16,7.6,4.6,5.3,6.8,3.1,4.3,3.6,88.6,3.409,100,12.5,rain,0,0,,8.4,116.5,1027.6,93.5,11.1,26.1,2.2,1,,2017-01-16T07:58:27,2017-01-16T16:22:38,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-17,5.2,0.6,3.1,4.7,0.6,2.7,-1.4,73.7,0,0,0,,0,0,,8.2,133,1035.9,31.4,12.4,48.6,4.3,3,,2017-01-17T07:57:32,2017-01-17T16:24:14,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-18,5.1,-2.2,1.4,5.1,-4.7,1.1,-3.4,71.9,0,0,0,,0,0,29.5,15.1,61.8,1038.6,24.8,14.9,65.4,5.6,3,,2017-01-18T07:56:34,2017-01-18T16:25:52,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,remote,03772099999,03770099999"
london,2017-01-19,7.1,-0.4,3.4,4.9,-0.4,2.3,-0.8,74.8,0,0,0,,0,0,,12.5,42.6,1037.2,15.5,12,66.2,5.6,3,,2017-01-19T07:55:33,2017-01-19T16:27:30,0.75,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-20,7,0.6,3.4,4.1,-1.5,1.3,-1.7,70.7,0.001,100,4.17,rain,0,0,24.1,16.7,58.7,1033.4,0.5,22.3,69,5.8,3,,2017-01-20T07:54:29,2017-01-20T16:29:10,0.76,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-21,4.5,-1,1.9,2,-2.2,0,-3.3,69.9,0,0,0,,0,0,,15,94,1028,9,18.6,67.5,5.7,3,,2017-01-21T07:53:23,2017-01-21T16:30:51,0.79,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-22,6.1,-2.5,0.7,5.1,-3.4,0.4,-1.1,88.2,0,0,0,,0,0,,6.9,164,1027.2,7.5,4.8,67.4,5.7,3,,2017-01-22T07:52:14,2017-01-22T16:32:33,0.82,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-23,4.1,-2,1.3,4.1,-2.3,0.6,0.5,94.9,0.199,100,8.33,rain,0,0,,6.4,253.6,1028.2,60.1,3.1,59.2,5.1,3,,2017-01-23T07:51:03,2017-01-23T16:34:17,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-24,8.7,0.6,3.9,6.9,0.6,3.3,2.2,89.6,0.001,100,4.17,rain,0,0,,11.5,249.3,1028.1,27.6,9.6,33.5,2.9,2,,2017-01-24T07:49:49,2017-01-24T16:36:00,0.89,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
